tdate,futureType,buyquota,buyhold,sellquota,sellhold
20180416,SR,262200,28096,344516,67438
20180416,ZC,35000,3800,21000,3000
20180416,TA,482530,156327,857000,159261
20180416,CF,205240,8185,212950,39567
20180416,OI,31000,2920,102000,15339
20180416,MA,69300,2832,58550,2100
20180416,CY,2000,0,0,0
20180416,FG,10000,5000,13100,0
20180416,RM,6000,0,115500,14553
20180416,AP,2230,230,2550,400
20180416,SM,14500,0,2000,0
20180416,SF,9300,1600,8760,0
20180417,SR,262200,26831,344516,65514
20180417,ZC,35000,3800,21000,3000
20180417,TA,482530,151608,857000,154090
20180417,CF,205240,9185,212950,41376
20180417,OI,31000,3470,102000,14744
20180417,MA,69300,2401,58550,1600
20180417,CY,2000,0,0,0
20180417,FG,10000,1814,13100,0
20180417,RM,6000,0,115500,14553
20180417,AP,2230,765,2550,881
20180417,SM,14500,4274,2000,0
20180417,SF,9300,1600,8760,0
20180418,SR,262200,26831,344516,66309
20180418,ZC,35000,3800,21000,3000
20180418,TA,482530,146489,857000,146818
20180418,OI,31000,4170,102000,14624
20180418,CF,205240,9230,212950,40642
20180418,MA,69300,1150,58550,1600
20180418,CY,2000,0,0,0
20180418,FG,10000,1514,13100,0
20180418,RM,6000,0,115500,14053
20180418,AP,2230,765,2550,881
20180418,SM,14500,3829,2000,0
20180418,SF,9300,1360,8760,0
20180419,SR,262200,26831,344516,65488
20180419,ZC,35000,3800,21000,3000
20180419,TA,482530,136468,857000,136396
20180419,MA,69300,1150,58550,1685
20180419,OI,31000,4445,102000,14714
20180419,CF,205240,9715,232950,54693
20180419,CY,2000,0,0,0
20180419,FG,10000,1150,13100,0
20180419,RM,6000,0,115500,14053
20180419,AP,2230,765,2550,961
20180419,SM,14500,2894,2000,0
20180419,SF,9300,60,8760,0
20180420,SR,262200,27831,344516,64152
20180420,ZC,35000,3800,21000,3000
20180420,TA,492530,137800,867000,133649
20180420,OI,31000,3530,102000,14744
20180420,CF,205240,10150,232950,53855
20180420,MA,69300,1077,58550,1185
20180420,CY,2000,0,0,0
20180420,FG,10000,850,13100,0
20180420,RM,6000,0,115500,14053
20180420,AP,4730,765,5050,961
20180420,SM,14500,2894,2000,0
20180420,SF,9300,40,8760,0
20180423,SR,262200,27831,344516,57730
20180423,TA,492530,131052,867000,125319
20180423,ZC,35000,3800,21000,3000
20180423,MA,69300,780,58550,1185
20180423,OI,31000,5224,115000,15194
20180423,CF,205240,11560,232950,54493
20180423,FG,10000,0,13100,0
20180423,CY,2000,0,0,0
20180423,RM,6000,0,138500,14053
20180423,AP,4730,765,5050,811
20180423,SM,14500,2894,2000,0
20180423,SF,9300,40,8760,0
20180424,SR,262200,23552,344516,57371
20180424,ZC,35000,3800,21000,3000
20180424,TA,512530,122760,877000,119795
20180424,OI,31000,5905,115000,16014
20180424,CF,205240,14089,232950,56784
20180424,MA,69300,505,58550,1185
20180424,FG,10000,0,13100,0
20180424,CY,2000,0,0,0
20180424,RM,6000,0,158500,29553
20180424,AP,4730,765,5050,751
20180424,SM,14500,1862,2000,0
20180424,SF,9300,40,8760,0
